35AD 0000 1DAB 2CF6 36ED 0000 0000 1FA7 13C0 1EE3 0000 1E0A 0000 1844 0000 5BED 0000 1B11 0000 17DF 13EE 25C0 0000 0000
35C9 FFF6 1C83 2D15 3705 E07C FFFA 1FCC 14C1 1EF5 FFB0 1D8B FFD1 17F8 DB69 5BBC FFFE 1A49 FFFB 17CE 147B 25CA ECB5 FFFA
35B8 FFF6 1C5D 2D04 3702 E07D FFFA 1FCE 14A7 1EED FFB0 1D8B FFD1 17C0 DB5E 5BBC FFFE 1A14 FFFB 17A3 147B 25CA ECA5 FFFA
35B5 FFF6 1C5D 2CFE 36FF E07A FFFA 1FCE 14AE 1EE8 FFB0 1D72 FFD1 17C3 DB5B 5BB6 FFFE 19EF FFFB 1771 146D 2591 EC91 FFFA
35B0 FFF6 1C47 2CFE 3701 E07D FFFA 1FCE 14A9 1EEB FFB0 1D5C FFD1 17C0 DB5A 5BB4 FFFE 1A03 FFFB 1797 147E 2591 EC8F FFFA
35BF FFF6 1C58 2CFC 3700 E07F FFFA 1FCD 14EA 1EFB FFB0 1D86 FFD1 17E9 DB8F 5BCD FFFE 1A03 FFFB 17DC 14B7 2592 EC8E FFFA
35BF FFF6 1CFB 2D3A 3700 E07F FFFA 1FCF 14EA 1EFB FFB0 1D86 FFD1 17F2 DB9C 5BE3 FFFE 1A9C FFFB 17FB 14BD 258D ECFA FFFA
35F9 FFF6 1CFB 2D3A 3738 E0A3 FFFA 1FD6 14D6 1F33 FFB0 1D8E FFD1 17F1 DB9C 5BCF FFFE 1AB9 FFFB 17C3 146D 25C3 ECFA FFFA
35F9 FFF6 1C9C 2CFC 373D E0A3 FFFA 1FD8 14A1 1F06 FFB0 1D96 FFD1 17D2 DB66 5BAE FFFE 1AB1 FFFB 17DC 144F 25C6 EC91 FFFA
35C0 FFF6 1C9B 2CF5 373D E0A3 FFFA 1FD8 13B6 1EF3 FFB0 1D96 FFD1 176A DB21 5B7A FFFE 1AB1 FFFB 17DC 13E9 25C6 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
