35AC 0000 1DB5 2CF7 36F3 0000 0000 1FAB 13C3 1EE5 0000 1E15 0000 1857 0000 5BE7 0000 1B0C 0000 17DB 13F0 25C1 0000 0000
35B4 FFF6 1C7B 2CFD 36E3 E068 FFFA 1FC6 14BA 1EEC FFB0 1D3C FFD1 17E5 DBB1 5BEE FFFE 1A14 FFFB 174E 1442 2547 EC93 FFFA
35B8 FFF6 1C77 2CFD 36F7 E07A FFFA 1FCF 14CD 1EF3 FFB0 1D67 FFD1 17DF DB83 5BC5 FFFE 1A1F FFFB 179F 1479 254A EC93 FFFA
35C1 FFF6 1C57 2D03 36F9 E079 FFFA 1FD3 14CD 1EF9 FFB0 1D48 FFD1 17E1 DB75 5BBA FFFE 1A06 FFFB 179F 1479 2534 EC96 FFFA
35C2 FFF6 1C74 2CFF 36FC E07A FFFA 1FD3 14B2 1EF9 FFB0 1D5D FFD1 17E9 DB76 5BC4 FFFE 1A06 FFFB 1795 1487 2593 EC8D FFFA
35C5 FFF6 1C7F 2D0B 370D E086 FFFA 1FCA 14A4 1EF7 FFB0 1D9C FFD1 17E9 DB6C 5BC4 FFFE 1A58 FFFB 17BB 14C6 25D3 ECA2 FFFA
35C5 FFF6 1C4B 2D06 36FA E070 FFFA 1FC6 1524 1EF7 FFB0 1D73 FFD1 1807 DBA1 5BE8 FFFE 19EB FFFB 17BB 14DD 256E EC98 FFFA
35B5 FFF6 1C76 2D06 36ED E06E FFFA 1FCC 1524 1EEC FFB0 1D3B FFD1 1827 DBA1 5BE8 FFFE 19CE FFFB 1730 148F 2573 EC98 FFFA
35B4 FFF6 1C6D 2D12 3705 E085 FFFA 1FCF 14FD 1EEC FFB0 1D62 FFD1 1813 DB7D 5BC9 FFFE 1A21 FFFB 1784 1463 25A9 ECAD FFFA
35B0 FFF6 1C5F 2D12 3705 E085 FFFA 1FD0 14B6 1EE5 FFB0 1D71 FFD1 17C8 DB5F 5BB4 FFFE 1A21 FFFB 178B 146E 25A9 ECAD FFFA
35C7 FFF6 1C8C 2D0A 3714 E085 FFFA 1FCF 14B2 1EF5 FFB0 1DAD FFD1 17CD DB5B 5BB2 FFFE 1A49 FFFB 17E3 146E 25D3 ECA5 FFFA
35C7 FFF6 1C97 2D0A 3720 E08D FFFA 1FD1 1489 1EF5 FFB0 1DB4 FFD1 17B7 DB51 5BA9 FFFE 1A7D FFFB 1802 1469 25D4 ECA5 FFFA
35C2 FFF6 1C48 2CF9 3720 E08D FFFA 1FD2 1489 1EEF FFB0 1DB4 FFD1 17B7 DB4D 5BA9 FFFE 1A40 FFFB 1802 1461 259F EC89 FFFA
35B9 FFF6 1C85 2D07 370A E083 FFFA 1FCC 14DD 1EED FFB0 1D75 FFD1 1803 DBD6 5C0B FFFE 1A0A FFFB 1884 1555 259F ECA1 FFFA
35B7 FFF6 1C9A 2D07 36DD E063 FFFA 1FC0 14DD 1EEC FFB0 1D43 FFD1 1803 DBD6 5C0B FFFE 1A14 FFFB 1757 1450 2553 ECA1 FFFA
35B7 FFF6 1C7E 2CFD 36F2 E071 FFFA 1FC7 14A0 1EEC FFB0 1D5E FFD1 17E3 DB97 5BDC FFFE 1A11 FFFB 1772 145E 257C EC8F FFFA
35B0 FFF6 1C64 2D05 36FA E077 FFFA 1FC8 1496 1EE6 FFB0 1D5A FFD1 17C9 DB75 5BC3 FFFE 1A11 FFFB 178A 1466 257C EC9B FFFA
